dataset,dataset_label,embedding_source,embedding_dim,metric_name,metric_scope,value,ci_low,ci_high,ci_level,ci_method,higher_is_better,n_structures,n_oxide,n_nitride,vector_space,raw_space_primary,projected_space,preprocessing,parameters,scenario,source_seed,majority_label_baseline
fixed_test_set,Fixed test set,last_gcn_pool,256,logistic_regression_family_auc,overall_family_labels,0.99966698905986673,0.99913409916197071,0.99997393827425041,0.94999999999999996,stratified_bootstrap_over_cross_validated_out_of_fold_scores,True,1669,1427,242,raw_256d_embedding_vectors,True,none,fold_local_standard_scaler_no_dimensionality_reduction,"{""class_weight"": ""balanced"", ""cv_folds"": 5, ""positive_label"": ""nitride"", ""solver"": ""lbfgs""}",pure_oxide_filtered,44,0.8550029958058718
balanced_pool_set,Balanced train+val pool,pre_head,256,silhouette_score,overall_family_labels,0.2147995146211619,0.21017648783518184,0.21949743316110459,0.94999999999999996,stratified_bootstrap_over_per_structure_silhouette_values,True,4092,2046,2046,raw_256d_embedding_vectors,True,none,none,"{""metric"": ""euclidean""}",inclusive_baseline_recomputed,1042,0.5
balanced_pool_set,Balanced train+val pool,pre_head,256,silhouette_score,oxide,0.19410601742899738,0.18596862768937034,0.20206050721537092,0.94999999999999996,bootstrap_over_family_per_structure_silhouette_values,True,4092,2046,2046,raw_256d_embedding_vectors,True,none,none,"{""metric"": ""euclidean""}",inclusive_baseline_recomputed,1042,0.5
balanced_pool_set,Balanced train+val pool,pre_head,256,silhouette_score,nitride,0.23549301181332649,0.23060005123909325,0.24017566826797382,0.94999999999999996,bootstrap_over_family_per_structure_silhouette_values,True,4092,2046,2046,raw_256d_embedding_vectors,True,none,none,"{""metric"": ""euclidean""}",inclusive_baseline_recomputed,1042,0.5
balanced_pool_set,Balanced train+val pool,pre_head,256,davies_bouldin_index,overall_family_labels,1.6445431066035552,1.5976045579307123,1.6884861932198747,0.94999999999999996,stratified_bootstrap_recomputed_index,False,4092,2046,2046,raw_256d_embedding_vectors,True,none,none,"{""metric"": ""euclidean""}",inclusive_baseline_recomputed,1042,0.5
balanced_pool_set,Balanced train+val pool,pre_head,256,knn_family_purity,overall_family_labels,0.97005539263603791,0.96633960573476707,0.97316878462039758,0.94999999999999996,stratified_bootstrap_over_per_structure_purity_values,True,4092,2046,2046,raw_256d_embedding_vectors,True,none,none,"{""k_neighbors"": 15, ""metric"": ""euclidean"", ""self_excluded"": true}",inclusive_baseline_recomputed,1042,0.5
balanced_pool_set,Balanced train+val pool,pre_head,256,knn_family_purity,oxide,0.96836102965135229,0.96272401433691768,0.97386852394916912,0.94999999999999996,bootstrap_over_family_per_structure_purity_values,True,4092,2046,2046,raw_256d_embedding_vectors,True,none,none,"{""k_neighbors"": 15, ""metric"": ""euclidean"", ""self_excluded"": true}",inclusive_baseline_recomputed,1042,0.5
balanced_pool_set,Balanced train+val pool,pre_head,256,knn_family_purity,nitride,0.97174975562072341,0.96705685891169757,0.97611599869664378,0.94999999999999996,bootstrap_over_family_per_structure_purity_values,True,4092,2046,2046,raw_256d_embedding_vectors,True,none,none,"{""k_neighbors"": 15, ""metric"": ""euclidean"", ""self_excluded"": true}",inclusive_baseline_recomputed,1042,0.5
balanced_pool_set,Balanced train+val pool,pre_head,256,logistic_regression_family_auc,overall_family_labels,0.99891426802315086,0.99821268689161968,0.99943839946145785,0.94999999999999996,stratified_bootstrap_over_cross_validated_out_of_fold_scores,True,4092,2046,2046,raw_256d_embedding_vectors,True,none,fold_local_standard_scaler_no_dimensionality_reduction,"{""class_weight"": ""balanced"", ""cv_folds"": 5, ""positive_label"": ""nitride"", ""solver"": ""lbfgs""}",inclusive_baseline_recomputed,1042,0.5
balanced_pool_set,Balanced train+val pool,pre_head,256,silhouette_score,overall_family_labels,0.2222834413739877,0.21762089604139073,0.22713359390262192,0.94999999999999996,stratified_bootstrap_over_per_structure_silhouette_values,True,4036,1990,2046,raw_256d_embedding_vectors,True,none,none,"{""metric"": ""euclidean""}",pure_oxide_filtered,1042,0.50693756194251738
